PID,sess,firstBlock,block,type,questionId,wait_duration,answer,question
A22KVJ5P63SM2J,1,corona,corona,Not useful,C_01_NU,8,"Animals, probably bats",What is the source of coronavirus in humans?
A22KVJ5P63SM2J,1,corona,corona,Useful,C_50_U,4,Washington,The first US death from the new coronavirus occurred in which state?
A22KVJ5P63SM2J,1,corona,third,Trivia,TB_12_TR,8,It sits beside the Finger Lakes,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?"
A22KVJ5P63SM2J,1,corona,third,Trivia,TB_14_TR,8,James Brown,"When asked to define ""cool,"" what two words did James Brown use?"
A22KVJ5P63SM2J,1,corona,third,Trivia,TB_21_TR,12,New York,Which state has the zip code 12345?
