PID,sess,firstBlock,block,type,questionId,wait_duration,answer,question
A1F0CROK8QWSOE,1,general,corona,Not useful,C_05_NU,16,University of Washington,Which was the first US University to cancel classes becuase of the new coronavirus?
A1F0CROK8QWSOE,1,general,corona,Not useful,C_15_NU,8,7.5 days,"In the early stages of the new coronavirus, the number of new cases doubled approximately every how many days?"
A1F0CROK8QWSOE,1,general,corona,Useful,C_32_U,12,"In public settings where other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies).",The CDC recommend people wear cloth masks in what situations?
A1F0CROK8QWSOE,1,general,general,Not useful,NC_16_NU,4,Newborns,The apgar score is used to measure the color and condition of what?
A1F0CROK8QWSOE,1,general,general,Useful,NC_31_U,8,Sign up for a free USAA membership,How can people under 25 rent a car without paying extra fees?
A1F0CROK8QWSOE,1,general,third,MTurk,TB_35_MT,4,Prototypes already exist. Technological estimates suggest that definitely within the next twenty years -- although the challenges are great.,When will we have flying cars?
A1F0CROK8QWSOE,1,general,third,Trivia,TB_21_TR,8,New York,Which state has the zip code 12345?
